epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4933,1.8093,3.2695,1.355,0.67059,0.47602,0.5709,0.32188,1.69129,1.79512,1.26874,0.000206583,0.000206583,0.000206583
2,93.9497,1.62541,1.4685,1.26051,0.7286,0.69775,0.75033,0.38446,1.80851,1.45037,1.38493,0.000412178,0.000412178,0.000412178
3,139.513,1.53656,1.25258,1.23098,0.83199,0.69105,0.79354,0.44108,1.6569,1.28921,1.24568,0.000615022,0.000615022,0.000615022
4,185.07,1.53731,1.165,1.22238,0.84438,0.73314,0.81492,0.47119,1.63017,1.17221,1.22592,0.000612625,0.000612625,0.000612625
5,231.241,1.48215,1.05402,1.20187,0.87695,0.76571,0.85757,0.50981,1.49011,0.99236,1.17256,0.0006085,0.0006085,0.0006085
6,277.368,1.44104,0.96225,1.17904,0.87506,0.78169,0.83723,0.50328,1.51372,1.10894,1.19616,0.000604375,0.000604375,0.000604375
7,323.23,1.43118,0.92433,1.17031,0.89267,0.77235,0.86946,0.53027,1.43354,0.93581,1.12907,0.00060025,0.00060025,0.00060025
8,369.099,1.42022,0.93045,1.15668,0.85398,0.86242,0.8999,0.53842,1.45382,0.85427,1.15877,0.000596125,0.000596125,0.000596125
9,415.108,1.36672,0.8603,1.136,0.90654,0.84056,0.90774,0.55069,1.46894,0.86512,1.13932,0.000592,0.000592,0.000592
10,460.881,1.33922,0.82902,1.12761,0.91084,0.83496,0.8964,0.5475,1.39479,0.89998,1.11733,0.000587875,0.000587875,0.000587875
11,506.735,1.34008,0.81705,1.13554,0.89087,0.83071,0.8928,0.53928,1.45929,0.87901,1.14386,0.00058375,0.00058375,0.00058375
12,552.624,1.33135,0.81334,1.11707,0.89103,0.81267,0.88741,0.54207,1.43245,0.89834,1.13481,0.000579625,0.000579625,0.000579625
13,598.26,1.29122,0.78503,1.10572,0.91326,0.83363,0.89706,0.56618,1.40449,0.83124,1.12589,0.0005755,0.0005755,0.0005755
14,644.278,1.30998,0.76955,1.10703,0.91107,0.84941,0.89964,0.54645,1.47654,0.84188,1.13564,0.000571375,0.000571375,0.000571375
15,690.078,1.31076,0.7504,1.10967,0.91844,0.88109,0.9204,0.57,1.39086,0.78064,1.10669,0.00056725,0.00056725,0.00056725
16,736.06,1.27182,0.73232,1.08642,0.90008,0.87063,0.91594,0.57066,1.40943,0.74553,1.10993,0.000563125,0.000563125,0.000563125
17,781.976,1.29542,0.75426,1.1065,0.92744,0.85527,0.91564,0.56643,1.3969,0.75703,1.11194,0.000559,0.000559,0.000559
18,827.693,1.25794,0.72195,1.0814,0.93291,0.85027,0.91852,0.58775,1.42114,0.79573,1.12624,0.000554875,0.000554875,0.000554875
