epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6193,0.69215,0.35363,0.87116,0.93426,0.90635,0.95248,0.696,1.12791,0.52776,1.04425,0.00105587,0.000497207,0.000497207
2,120.804,0.66651,0.3443,0.85901,0.94851,0.89734,0.94904,0.68383,1.11051,0.54436,1.03501,0.000450025,0.000450025,0.000450025
3,184.527,0.67281,0.34673,0.8675,0.94426,0.91572,0.95878,0.70456,1.11084,0.53877,1.01879,0.00040005,0.00040005,0.00040005
4,247.963,0.64948,0.33463,0.85704,0.9534,0.90417,0.95216,0.70124,1.09763,0.5305,1.0202,0.000350075,0.000350075,0.000350075
5,311.136,0.64254,0.32456,0.85975,0.95304,0.9169,0.9545,0.70611,1.09398,0.51243,1.02026,0.0003001,0.0003001,0.0003001
6,374.512,0.61794,0.31459,0.85028,0.95591,0.92197,0.95201,0.70175,1.08243,0.51733,1.01911,0.000250125,0.000250125,0.000250125
7,437.675,0.59367,0.30351,0.84429,0.95025,0.92971,0.95058,0.71053,1.05536,0.51422,1.01004,0.00020015,0.00020015,0.00020015
8,500.99,0.55753,0.29061,0.83052,0.9612,0.93852,0.95555,0.71712,1.06664,0.49041,1.01536,0.000150175,0.000150175,0.000150175
9,564.318,0.53677,0.28106,0.83064,0.95942,0.9256,0.95648,0.72479,1.04647,0.47929,1.00758,0.0001002,0.0001002,0.0001002
10,626.792,0.50633,0.26686,0.82189,0.96302,0.93258,0.95755,0.72764,1.03021,0.48143,1.00523,5.0225e-05,5.0225e-05,5.0225e-05
